"","skid","name","tract","lineage","glomerulus","new_type_name","type","hemisphere"
"24",1640594274,"mPN1_DC1","mALT","ALad1","DC1","DC1 ALad1","fib","FIB"
"25",1828206773,"mPN1_DC2","mALT","ALad1","DC2","DC2 ALad1","fib","FIB"
"26",5813055048,"mPN1_DC2","mALT","ALad1","DC2","DC2 ALad1","fib","FIB"
"27",5813039471,"mPN1_DC3","mALT","ALad1","DC3","DC3 ALad1","fib","FIB"
"28",1858171399,"mPN1_DC3","mALT","ALad1","DC3","DC3 ALad1","fib","FIB"
"29",1857825571,"mPN1_DC3","mALT","ALad1","DC3","DC3 ALad1","fib","FIB"
"30",5813056596,"mPN1_DC4","mALT","ALad1","DC4","DC4 ALad1","fib","FIB"
"31",1700937093,"mPN1_DL1","mALT","ALad1","DL1","DL1 ALad1","fib","FIB"
"32",1700946301,"mPN1_DL1","mALT","ALad1","DL1","DL1 ALad1","fib","FIB"
"33",788648194,"mPN1_DL2d","mALT","ALad1","DL2d","DL2d ALad1","fib","FIB"
"34",1793014716,"mPN1_DL2d","mALT","ALad1","DL2d","DL2d ALad1","fib","FIB"
"35",5813024710,"mPN1_DL2d","mALT","ALad1","DL2d","DL2d ALad1","fib","FIB"
"36",1756579280,"mPN1_DL2d","mALT","ALad1","DL2d","DL2d ALad1","fib","FIB"
"37",1793351401,"mPN1_DL2d","mALT","ALad1","DL2d","DL2d ALad1","fib","FIB"
"38",5813039465,"mPN1_DL2v","mALT","ALad1","DL2v","DL2v ALad1","fib","FIB"
"39",5813038793,"mPN1_DL2v","mALT","ALad1","DL2v","DL2v ALad1","fib","FIB"
"40",1734420152,"mPN1_DL2v","mALT","ALad1","DL2v","DL2v ALad1","fib","FIB"
"41",1609542060,"mPN1_DL3","mALT","ALl1_dorsal","DL3","DL3 ALl1_dorsal","fib","FIB"
"42",1609883245,"mPN1_DL3","mALT","ALl1_dorsal","DL3","DL3 ALl1_dorsal","fib","FIB"
"43",1640568102,"mPN1_DL3","mALT","ALl1_dorsal","DL3","DL3 ALl1_dorsal","fib","FIB"
"44",1670934213,"mPN1_DL4","mALT","ALad1","DL4","DL4 ALad1","fib","FIB"
"45",693483018,"mPN1_DL5","mALT","ALad1","DL5","DL5 ALad1","fib","FIB"
"46",542634818,"mPN1_DM1","mALT","ALl1_dorsal","DM1","DM1 ALl1_dorsal","fib","FIB"
"47",1976892922,"mPN1_DM2","mALT","ALl1_dorsal","DM2","DM2 ALl1_dorsal","fib","FIB"
"48",630714299,"mPN1_DM2","mALT","ALl1_dorsal","DM2","DM2 ALl1_dorsal","fib","FIB"
"49",755518957,"mPN1_DM3","mALT","ALad1","DM3","DM3 ALad1","fib","FIB"
"50",573333835,"mPN1_DM4","mALT","ALad1","DM4","DM4 ALad1","fib","FIB"
"51",697485362,"mPN1_DM5","mALT","ALl1_dorsal","DM5","DM5 ALl1_dorsal","fib","FIB"
"52",635416407,"mPN1_DM5","mALT","ALl1_dorsal","DM5","DM5 ALl1_dorsal","fib","FIB"
"53",1764091241,"mPN1_DM6","mALT","ALad1","DM6","DM6 ALad1","fib","FIB"
"54",788306624,"mPN1_DM6","mALT","ALad1","DM6","DM6 ALad1","fib","FIB"
"55",5813070872,"mPN1_DM6","mALT","ALad1","DM6","DM6 ALad1","fib","FIB"
"56",724816115,"mPN1_DP1l","mALT","ALl1_ventral","DP1l","DP1l ALl1_ventral","fib","FIB"
"57",635062078,"mPN1_DP1m","mALT","ALad1","DP1m","DP1m ALad1","fib","FIB"
"58",5812995098,"mPN1_lvVC5","mALT","ALlv1","VC5","VC5 ALlv1","fib","FIB"
"59",726207450,"mPN1_lvVM4","mALT","ALlv1","VM4","VM4 ALlv1","fib","FIB"
"60",1850024931,"mPN1_lvVM4","mALT","ALlv1","VM4","VM4 ALlv1","fib","FIB"
"61",1851061177,"mPN1_VA1d","mALT","ALad1","VA1d","VA1d ALad1","fib","FIB"
"62",5813055162,"mPN1_VA1d","mALT","ALad1","VA1d","VA1d ALad1","fib","FIB"
"63",850375847,"mPN1_VA1d","mALT","ALad1","VA1d","VA1d ALad1","fib","FIB"
"64",5813024601,"mPN1_VA1v","mALT","ALad1","VA1v","VA1v ALad1","fib","FIB"
"65",1788300760,"mPN1_VA1v","mALT","ALad1","VA1v","VA1v ALad1","fib","FIB"
"66",5813054697,"mPN1_VA1v","mALT","ALad1","VA1v","VA1v ALad1","fib","FIB"
"67",1977579449,"mPN1_VA2","mALT","ALad1","VA2","VA2 ALad1","fib","FIB"
"68",5813055025,"mPN1_VA3","mALT","ALad1","VA3","VA3 ALad1","fib","FIB"
"69",1889253785,"mPN1_VA3","mALT","ALad1","VA3","VA3 ALad1","fib","FIB"
"70",1630051981,"mPN1_VA4","mALT","ALl1_dorsal","VA4","VA4 ALl1_dorsal","fib","FIB"
"71",574374051,"mPN1_VA5","mALT","ALl1_dorsal","VA5","VA5 ALl1_dorsal","fib","FIB"
"72",574037281,"mPN1_VA5","mALT","ALl1_dorsal","VA5","VA5 ALl1_dorsal","fib","FIB"
"73",574032862,"mPN1_VA5","mALT","ALl1_dorsal","VA5","VA5 ALl1_dorsal","fib","FIB"
"74",1881751117,"mPN1_VA6","mALT","ALad1","VA6","VA6 ALad1","fib","FIB"
"75",1692817033,"mPN1_VA7l","mALT","ALad1","VA7l","VA7l ALad1","fib","FIB"
"76",5813050729,"mPN1_VA7m","mALT","ALl1_dorsal","VA7m","VA7m ALl1_dorsal","fib","FIB"
"77",1882083076,"mPN1_VA7m","mALT","ALl1_dorsal","VA7m","VA7m ALl1_dorsal","fib","FIB"
"78",5813055180,"mPN1_VA7m","mALT","ALl1_dorsal","VA7m","VA7m ALl1_dorsal","fib","FIB"
"79",606090268,"mPN1_VC1","mALT","ALl1_dorsal","VC1","VC1 ALl1_dorsal","fib","FIB"
"80",1850706912,"mPN1_VC2","mALT","ALl1_dorsal","VC2","VC2 ALl1_dorsal","fib","FIB"
"81",5813000276,"mPN1_VC3l","mALT","ALad1","VC3l","VC3l ALad1","fib","FIB"
"82",693125078,"mPN1_VC3l","mALT","ALad1","VC3l","VC3l ALad1","fib","FIB"
"83",1914823337,"mPN1_VC3l","mALT","ALad1","VC3l","VC3l ALad1","fib","FIB"
"84",662776660,"mPN1_VC3m","mALT","ALlv1","VC3m","VC3m ALlv1","fib","FIB"
"85",1442819296,"mPN1_VC3m","mALT","ALlv1","VC3m","VC3m ALlv1","fib","FIB"
"86",1818307672,"mPN1_VC3m","mALT","ALlv1","VC3m","VC3m ALlv1","fib","FIB"
"87",5813055147,"mPN1_VC4","mALT","ALad1","VC4","VC4 ALad1","fib","FIB"
"88",788306724,"mPN1_VC4","mALT","ALad1","VC4","VC4 ALad1","fib","FIB"
"89",754854077,"mPN1_VC4","mALT","ALad1","VC4","VC4 ALad1","fib","FIB"
"90",636789080,"mPN1_VC5","mALT","ALad1","VC5","VC5 ALad1","fib","FIB"
"91",2166133204,"mPN1_VL1","mALT","C1","VL1","VL1 C1","fib","FIB"
"92",5813069089,"mPN1_VL2a","mALT","ALad1","VL2a","VL2a ALad1","fib","FIB"
"93",1944507292,"mPN1_VL2p","mALT","ALad1","VL2p","VL2p ALad1","fib","FIB"
"94",1850711304,"mPN1_VM1","mALT","ALl1_dorsal","VM1","VM1 ALl1_dorsal","fib","FIB"
"95",697132371,"mPN1_VM2","mALT","ALad1","VM2","VM2 ALad1","fib","FIB"
"96",727472481,"mPN1_VM2","mALT","ALad1","VM2","VM2 ALad1","fib","FIB"
"97",1851389175,"mPN1_VM3","mALT","ALad1","VM3","VM3 ALad1","fib","FIB"
"98",1977916288,"mPN1_VM3","mALT","ALad1","VM3","VM3 ALad1","fib","FIB"
"99",694834412,"mPN1_VM4","mALT","ALad1","VM4","VM4 ALad1","fib","FIB"
"100",1888572074,"mPN1_VM5d","mALT","ALad1","VM5d","VM5d ALad1","fib","FIB"
"101",1914823414,"mPN1_VM5d","mALT","ALad1","VM5d","VM5d ALad1","fib","FIB"
"102",1914140664,"mPN1_VM5d","mALT","ALad1","VM5d","VM5d ALad1","fib","FIB"
"103",1006258344,"mPN1_VM5d","mALT","ALad1","VM5d","VM5d ALad1","fib","FIB"
"104",5813024712,"mPN1_VM5d","mALT","ALad1","VM5d","VM5d ALad1","fib","FIB"
"105",5813034571,"mPN1_VM5v","mALT","ALad1","VM5v","VM5v ALad1","fib","FIB"
"106",2010992546,"mPN1_VM5v","mALT","ALad1","VM5v","VM5v ALad1","fib","FIB"
"107",5813050727,"mPN1_VM7d","mALT","ALad1","VM7d","VM7d ALad1","fib","FIB"
"108",1851393805,"mPN1_VM7d","mALT","ALad1","VM7d","VM7d ALad1","fib","FIB"
"109",693479072,"mPN1_VM7v","mALT","ALad1","VM7v","VM7v ALad1","fib","FIB"
"110",1889253763,"mPN1_VM7v","mALT","ALad1","VM7v","VM7v ALad1","fib","FIB"
"111",948834414,"mlPN1_VL2a","mlALT","ALv1","VL2a","VL2a ALv1","fib","FIB"
"112",856071065,"mlPN1","mlALT","ALv1","VA1v","VA1v ALv1","fib","FIB"
"113",733316908,"mlPN1_DA1","mlALT","ALv1","DA1","DA1 ALv1","fib","FIB"
"114",1888524453,"mlPN1_VA1d","mlALT","ALv1","VA1d","VA1d ALv1","fib","FIB"
"115",887105351,"mlPN1_VA1v","mlALT","ALv1","VA1v","VA1v ALv1","fib","FIB"
"116",757556799,"mlPN1_VL1","mlALT","ALv1","VL1","VL1 ALv1","fib","FIB"
"117",824353701,"mlPN1_VL2p","mlALT","ALv1","VL2p","VL2p ALv1","fib","FIB"
"118",635048729,"mlPN2_DP1m","mlALT","ALv1","DP1m","DP1m ALv1","fib","FIB"
"119",5813077810,"mlPNX_VL2a","mlALT","ALv1","VL2a","VL2a ALv1","fib","FIB"
