"","bodyid","glomerulus","soma_side","modality","cable.length.um","presyn.glom","presyn"
"947",1885765506,"VL2a","contralateral","olfactory",43.5740473465195,44,44
"948",1886447240,"VL2a","contralateral","olfactory",36.9810844611805,38,38
"949",1886788224,"VL2a","ipsilateral","olfactory",111.346249020055,93,93
"950",1886788295,"VL2a","contralateral","olfactory",51.9162221285245,32,33
"951",1886788309,"VL2a","ipsilateral","olfactory",76.6341582947938,66,67
"952",1886788314,"VL2a","ipsilateral","olfactory",110.530682664177,106,110
"953",1886788340,"VL2a","contralateral","olfactory",88.7032947620633,48,48
"954",1886788368,"VL2a","contralateral","olfactory",65.1286894177038,38,44
"955",1886788784,"VL2a","ipsilateral","olfactory",106.233689451115,91,91
"956",1887129331,"VL2a","ipsilateral","olfactory",122.412779157921,103,103
"957",1887224752,"DM2",NA,"olfactory",51.6875203329005,14,17
"958",1887466111,"VL2a","ipsilateral","olfactory",106.623984586239,97,97
"959",1887470461,"VL2a","ipsilateral","olfactory",127.708673858403,101,101
"960",1887470632,"VL2a","ipsilateral","olfactory",106.810723544005,86,86
"961",1888183031,"VP1d","unilateral","thermo-hygro",324.48226499511,220,266
"962",1888183512,"VP1d","unilateral","thermo-hygro",296.07541436761,200,234
"963",1888528200,"VP1d","unilateral","thermo-hygro",274.965039047135,200,234
"964",1888908241,"DC2","ipsilateral","olfactory",249.10437911719,128,130
"965",1889266295,"DM6","ipsilateral","olfactory",95.0947792639522,54,54
"966",1914500150,"VM7v","contralateral","olfactory",86.7124755725793,69,69
"967",1917823111,"VL2a","contralateral","olfactory",70.4386075977062,38,38
"968",1917823351,"VL2a","ipsilateral","olfactory",179.028893172427,121,121
"969",1917823571,"VL2a","ipsilateral","olfactory",88.6066862957876,80,80
"970",1918846818,"VL2a","ipsilateral","olfactory",92.5651579082449,71,72
"971",1918885778,"VP1d","unilateral","thermo-hygro",264.691995834337,207,250
"972",1918889952,"VP1d","unilateral","thermo-hygro",256.964700849013,177,229
"973",1919589289,"DC2","ipsilateral","olfactory",182.415752427481,109,109
"974",1919934500,"DC2","ipsilateral","olfactory",148.820373622674,89,90
"975",1920629312,"DC2","ipsilateral","olfactory",212.182466178974,116,116
"976",1945875433,"VC3l","contralateral","olfactory",67.2181055336564,32,32
"977",1948172360,"VL2p","ipsilateral","olfactory",173.576825831196,134,134
"978",1948512982,"VL2p","ipsilateral","olfactory",146.325059713993,132,132
"979",1948513200,"VL2p","ipsilateral","olfactory",208.041597904299,141,142
"980",1949609807,"VM7v",NA,"olfactory",85.6016110894105,51,54
"981",1949959710,"VM7v",NA,"olfactory",92.1928633629673,66,68
"982",1977208602,"VP4","ipsilateral","thermo-hygro",128.108985164432,134,141
"983",1977545462,"VP4","ipsilateral","thermo-hygro",134.414028120627,119,136
"984",1977545573,"VP4","ipsilateral","thermo-hygro",123.306368195254,132,140
"985",1977553534,"VP4","ipsilateral","thermo-hygro",203.740852267857,139,144
"986",1977597054,"VC3l","contralateral","olfactory",109.200097917471,42,42
"987",1977600880,"VC3l","ipsilateral","olfactory",133.551829273686,85,85
"988",1977890767,"VP4","ipsilateral","thermo-hygro",178.343388400009,129,135
"989",1977898840,"VP1l","unilateral","thermo-hygro",251.300013912595,241,261
"990",1977898894,"VP1l","unilateral","thermo-hygro",294.271608892077,214,225
"991",1977933882,"VC3l","contralateral","olfactory",95.5245709265003,52,53
"992",1978209738,"VL2a","contralateral","olfactory",30.3685844771333,26,32
"993",1978908720,"VP1d","unilateral","thermo-hygro",241.195701788503,192,243
"994",1979206640,"VL2p","contralateral","olfactory",70.3363137579536,36,39
"995",1979263232,"VP1m","unilateral","thermo-hygro",346.570913741957,277,303
"996",1979547954,"VL2p","ipsilateral","olfactory",153.969966726725,122,123
"997",1979888904,"VL2a","contralateral","olfactory",53.8075683681137,44,44
"998",1979888922,"VL2a","ipsilateral","olfactory",112.538011409867,80,81
"999",1979888937,"VL2a",NA,"olfactory",54.6988112290658,44,45
"1000",1979967428,"VM7v","contralateral","olfactory",89.2290371021029,62,63
"1001",1980229841,"VL2a","contralateral","olfactory",42.8436539297655,42,47
"1002",1980234505,"VL2a","contralateral","olfactory",62.3140161798099,42,46
"1003",1980234579,"VL2a","contralateral","olfactory",82.6717306134171,40,40
"1004",1980303759,"VM7v",NA,"olfactory",49.4038200221719,42,43
"1005",1980308137,"VM7v",NA,"olfactory",102.172206239622,59,60
"1006",1980312450,"VM7v",NA,"olfactory",73.0841855999232,56,60
"1007",1980575147,"VL2a","contralateral","olfactory",62.2681433800345,41,42
"1008",1980579904,"VL2a","contralateral","olfactory",72.6549140458861,49,50
"1009",1980640296,"VM7v","ipsilateral","olfactory",71.7235460364596,59,65
"1010",1980644654,"VM7v",NA,"olfactory",89.2451588302728,56,56
"1011",1980653016,"VM7v","ipsilateral","olfactory",74.6992373837472,59,62
"1012",1980920883,"VL2a","ipsilateral","olfactory",118.069920035776,104,104
"1013",1980994340,"VM7v",NA,"olfactory",90.0721389485937,77,80
"1014",2008239574,"VP4","ipsilateral","thermo-hygro",108.081633944297,122,150
"1015",2008579902,"VP4","ipsilateral","thermo-hygro",175.782302938498,108,131
"1016",2008631215,"VC3l","contralateral","olfactory",68.1024029232596,34,34
"1017",2008631840,"VC1","contralateral","olfactory",126.46993832961,87,88
"1018",2008920639,"VP4","ipsilateral","thermo-hygro",141.561417045195,153,159
"1019",2008972867,"VC3l",NA,"olfactory",12.5035937113532,8,8
"1020",2009235834,"VL2p","contralateral","olfactory",94.1084949450102,53,53
"1021",2009235843,"VL2p","contralateral","olfactory",62.5051024239764,43,43
"1022",2009235865,"VL2p","contralateral","olfactory",97.4521644649169,44,44
"1023",2009235983,"VL2a","contralateral","olfactory",56.8908866709298,36,38
"1024",2009236011,"VL2p","contralateral","olfactory",101.073472405502,51,51
"1025",2009236068,"VL2p","contralateral","olfactory",105.291065155656,51,51
"1026",2009240747,"VL2p","contralateral","olfactory",81.2745263319566,42,43
"1027",2009240803,"VL2p","contralateral","olfactory",82.9009115750974,44,44
"1028",2009240823,"VL2p","contralateral","olfactory",96.1362527627264,41,43
"1029",2009240859,"VL2a","contralateral","olfactory",89.2704931631782,44,46
"1030",2009274786,"VP1m","unilateral","thermo-hygro",305.623834625296,259,297
"1031",2009274855,"VP1m","unilateral","thermo-hygro",276.339372070362,294,325
"1032",2009309602,"VC3l","contralateral","olfactory",63.49469844861,46,46
"1033",2009576932,"VL2a","contralateral","olfactory",66.9338648786534,37,53
"1034",2009611617,"VP1m","unilateral","thermo-hygro",299.951143584959,256,310
"1035",2009611976,"VP1m","unilateral","thermo-hygro",296.442466453814,260,315
"1036",2009612004,"VP1m","unilateral","thermo-hygro",307.663328325125,280,299
"1037",2009655004,"VC3l","ipsilateral","olfactory",183.812187887563,101,102
"1038",2009953077,"VP1d","unilateral","thermo-hygro",293.704949085119,198,255
"1039",2010246349,"VL2p","ipsilateral","olfactory",140.695101382295,107,107
"1040",2010246433,"VL2p","contralateral","olfactory",113.675956862047,50,50
"1041",2010582646,"VL2p","ipsilateral","olfactory",138.579526475972,124,125
"1042",2010587163,"VL2a","contralateral","olfactory",55.0084633171992,43,43
"1043",2010595874,"VL2a","contralateral","olfactory",73.3582224803231,41,41
"1044",2010928213,"VL2a","ipsilateral","olfactory",91.0491231653546,74,74
"1045",2010928226,"VL2a","contralateral","olfactory",78.344772766313,52,52
"1046",2010928256,"VL2a","contralateral","olfactory",53.8765966357279,38,41
"1047",2010936968,"VL2a","contralateral","olfactory",71.1847709973779,40,41
"1048",2010937101,"VL2p","ipsilateral","olfactory",155.817948401648,135,138
"1049",2011264911,"VL2p","ipsilateral","olfactory",129.402820750286,117,120
"1050",2011269409,"VL2a","contralateral","olfactory",76.5059000999236,42,42
"1051",2012698272,"VC1","ipsilateral","olfactory",108.981962447024,115,118
"1052",2039623367,"VP1l","unilateral","thermo-hygro",262.928482365669,247,259
"1053",2040266092,"VL2p","contralateral","olfactory",83.7672330341035,43,43
"1054",2040270490,"VL2p","contralateral","olfactory",97.1542742958424,36,36
"1055",2040348410,"VC3l",NA,"olfactory",105.568373403485,55,58
"1056",2040348807,"VC3l",NA,"olfactory",106.09552868567,56,58
"1057",2040348896,"VC3l","ipsilateral","olfactory",156.239560726878,95,96
"1058",2040603039,"VL2a","contralateral","olfactory",79.5052805015456,46,48
"1059",2040603130,"VL2p","ipsilateral","olfactory",157.620478401055,128,134
"1060",2040677122,"VC3l","ipsilateral","olfactory",150.156515179656,82,84
"1061",2040681011,"VC3l","contralateral","olfactory",71.7621198854474,47,47
"1062",2040685505,"VC3l","ipsilateral","olfactory",111.764990465403,84,84
"1063",2040689820,"VC3l",NA,"olfactory",40.8229490457295,34,34
"1064",2040939849,"VL2p","ipsilateral","olfactory",150.048444908511,132,133
"1065",2040939889,"VL2p","ipsilateral","olfactory",159.293109935685,133,133
"1066",2040944240,"VL2a","contralateral","olfactory",82.3776904272922,51,52
"1067",2040944536,"VL2p","contralateral","olfactory",86.2383891931522,39,41
"1068",2041026442,"VC3l","ipsilateral","olfactory",180.196708465617,85,91
"1069",2041035008,"VM7v",NA,"olfactory",21.2724460110272,15,16
"1070",2041281083,"VL2p","ipsilateral","olfactory",140.302493489321,134,134
"1071",2041285477,"VL2p","ipsilateral","olfactory",139.342900549415,115,116
"1072",2041367679,"VM7v","ipsilateral","olfactory",92.6275606702165,61,66
"1073",2041962740,"VL2a","contralateral","olfactory",77.2692863754956,43,43
"1074",2041963078,"VL2a","ipsilateral","olfactory",83.7091929747852,69,69
"1075",2042644919,"VL2a","ipsilateral","olfactory",125.708745231786,82,90
"1076",2043042499,"VC1",NA,"olfactory",130.091809808494,84,84
"1077",2069320377,"VP2","unilateral","thermo-hygro",654.719912453495,456,462
"1078",2071715595,"VC3l","contralateral","olfactory",52.8619699270712,38,38
