"bodyid","pre","post","upstream","downstream","status","name","voxels","soma","side","connectivity.type","cell.type","class","cellBodyFiber","ItoLee_Lineage","ItoLee_Hemilineage","Hartenstein_Lineage","Hartenstein_Hemilineage","putative.classic.transmitter","putative.other.transmitter","FAFB.match","FAFB.match.quality","layer","ct.layer","axon.outputs","dend.outputs","axon.inputs","dend.inputs","total.length","axon.length","dend.length","pd.length","segregation_index","notes"
542639270,149,180,180,1450,"Traced","LHPV4a10_a_R",295055277,FALSE,"right","LHPV4a10_a","LHPV4a10_a","LHLN","PDL08","LHp1","LHp1","BLP4","BLP4","glutamate","unknown","720575940630428627","medium",3.09758551307847,3,974,432,92,81,1386.72973213195,453.736976656868,355.120831397211,63.8191552599014,0.015856076002985,NA
541952417,116,183,183,1242,"Traced","LHPV4a10_a_R",213318706,FALSE,"right","LHPV4a10_a","LHPV4a10_a","LHLN","PDL08","LHp1","LHp1","BLP4","BLP4","glutamate","unknown","720575940621287059","medium",3.30246913580247,3,641,601,38,142,1203.8149440411,216.009037816843,496.895008984413,33.494064831829,0.0577519133960358,NA
5813020004,164,353,353,1474,"Traced","LHPV4a10_a_R",258397805,FALSE,"right","LHPV4a10_a","LHPV4a10_a","LHLN","PDL08","LHp1","LHp1","BLP4","BLP4","glutamate","unknown","720575940622949638","medium",3.4224049331963,3,1215,242,243,104,1493.00086578001,701.11902533448,228.635766785291,21.7772384404256,0.0167736427637807,NA
604022763,144,239,239,1395,"Traced","LHPV4a10_a_R",213095560,FALSE,"right","LHPV4a10_a","LHPV4a10_a","LHLN","PDL08","LHp1","LHp1","BLP4","BLP4","glutamate","unknown","720575940599915501","poor",3.44927536231884,3,561,828,80,151,1282.34106680223,239.766619432592,535.698140742965,22.4414444725854,0.00209671406956891,NA
572642334,136,232,232,1293,"Traced","LHPV4a10_a_R",222164609,FALSE,"right","LHPV4a10_a","LHPV4a10_a","LHLN","PDL08","LHp1","LHp1","BLP4","BLP4","glutamate","unknown","720575940605975705","medium",3.51437371663244,3,560,697,87,136,1257.86945825994,308.553683730905,414.750876211852,34.5276769468453,0.00189598369291755,NA
542980274,124,162,162,1219,"Traced","LHPV4a10_b_R",232517295,FALSE,"right","LHPV4a10_b","LHPV4a10_b","LHLN","PDL08","LHp1","LHp1","BLP4","BLP4","glutamate","unknown","720575940618022277","poor",3.19556451612903,3,790,427,56,100,1259.68916546659,312.811790853247,470.11187225743,64.9546775254585,0.0490900362019935,NA
5813055963,384,333,333,3996,"Traced","LHPV4a11_R",539664792,TRUE,"right","LHPV4a11","LHPV4a11","LHLN","PDL08","LHp1","LHp1","BLP4","BLP4","glutamate","unknown","720575940633039925","good",3.24747474747475,3,2946,984,135,191,2002.47313696446,738.056878871487,594.622981941913,45.2090516392154,0.0651211252475994,NA
666450841,485,1122,1122,4980,"Traced","LHPV4a11_R",693739268,TRUE,"right","LHPV4a11","LHPV4a11","LHLN","PDL08","LHp1","LHp1","BLP4","BLP4","glutamate","unknown","720575940625436432","medium",3.25749741468459,3,2113,2856,428,685,3179.83589817577,1042.57290008753,1261.07911079106,41.8547654255434,0.00107617539027127,NA
790922968,188,433,433,1978,"Traced","LHPV4a12_a_R",257806302,FALSE,"right","LHPV4a12_a","LHPV4a12_a","LHON","PDL08","LHp1","LHp1","BLP4","BLP4","glutamate","unknown","720575940625793119","medium",3.34090909090909,3,1286,662,211,218,1666.84691693914,697.343701929583,517.814747977817,62.979726986921,0.0185176812863543,NA
574037479,192,495,495,1960,"Traced","LHPV4a12_b_R",270557493,FALSE,"right","LHPV4a12_b","LHPV4a12_b","LHON","PDL08","LHp1","LHp1","BLP4","BLP4","glutamate","unknown","720575940633002815","medium",3.30198537095089,3,907,1000,116,356,1719.28859733983,320.641125314191,893.559325085289,105.149653154995,0.0361545294985797,NA
