bodyId,layer_mean,layer_olf_mean,layer_th_mean
329578247,4.705,4.758,5.936
329581637,4.398,4.35,5.822
329582105,4.643,4.76,5.586
329599710,2.683,2.733,4.956
329638509,6.051,6.173,6.678
329646990,4.958,4.987,6.059
329728593,6.048,6.201,6.588
329772284,6.397,6.471,7.026
329897241,4.441,4.467,5.694
329897255,4.596,4.658,5.525
329901950,4.531,4.587,5.548
329906396,3.475,3.499,5.462
329918685,5.518,5.554,6.44
329919036,4.941,4.933,6.003
329936589,4.633,4.636,5.812
329966674,4.617,4.835,5.067
329970706,5.58,5.796,6.106
329978745,5.39,5.47,6.194
329983926,6.155,6.414,6.727
329988112,5.077,5.118,6.024
330074324,6.222,6.435,6.737
330074340,5.782,6.235,5.859
330074628,5.898,6.132,6.24
330079381,6.067,6.296,6.485
330237771,4.5,5.219,4.793
330238043,4.64,4.663,5.754
330246657,4.01,4.153,4.945
330256546,4.74,4.78,5.79
330259272,4.602,4.654,6.042
330260421,5.299,5.449,5.994
330268940,4.269,4.36,5.636
330276998,4.94,4.958,6.141
330303073,4.865,4.885,5.975
330316013,4.892,4.991,5.715
330319977,5.089,5.231,5.916
330319983,5.264,5.271,6.291
330320065,5.659,5.692,6.539
330388864,6.182,6.477,6.536
330415332,6.117,6.396,6.395
330415373,5.894,6.252,6.231
330604760,3.702,3.769,5.283
330640044,5.759,6.005,6.237
330640381,5.051,5.094,5.986
330661529,5.865,6.077,6.448
330661573,5.363,5.375,6.33
330661786,5.987,6.12,6.624
330678844,6.112,6.261,6.687
330937034,4.724,4.754,5.9
330989587,5.105,5.125,6.089
330998071,4.502,4.531,5.9
330998090,5.216,5.291,6.118
331002291,4.987,5.06,5.908
331006655,5.496,5.772,6.044
331011085,4.859,4.856,6.04
331338959,5.441,5.595,6.023
331343089,5.535,5.596,6.31
331411807,6.117,6.365,6.57
331662668,3.268,3.313,5.232
331662710,4.256,4.277,5.743
331662717,3.312,3.314,5.203
331774819,6.041,6.094,6.664
331999156,3.201,3.25,4.912
331999213,3.405,3.392,5.216
332003372,4.961,4.978,5.916
332003629,3.281,3.255,5.386
332003730,3.584,3.586,5.632
332003895,4.948,4.961,5.92
332003899,3.776,3.811,5.698
332007728,3.213,3.185,5.421
332008063,3.223,3.235,5.186
332008082,3.273,3.262,5.302
332340127,3.31,3.291,5.341
332340236,3.224,3.21,5.276
332344539,3.304,3.498,3.822
