"bodyid","X","Y","Z"
"5813009791","3406","25207","13913"
"5813009518","3415","25632","12476"
"5812989557","3266","25736","12883"
"1353690708","2363","24679","12315"
"1229538338","4011","26541","13330"
"1198504136","4669","27331","13755"
"1074678938","3718","25694","13468"
"1042656011","4302","26077","12956"
"981215328","3910","24986","14018"
"854106922","3036","24546","14558"
"609224408","2964","24490","14106"
"582700300","3014","24658","11499"
"576816635","3669","25233","13519"
"545786279","4804","26567","13799"
"485771504","2989","24400","13062"
"421975193","4137","27082","14658"
"421650982","4438","26474","14102"
"390616420","4169","25915","13326"
"390598284","3386","24718","13964"
"359564703","4098","25066","13552"
"359555152","2202","25363","13358"
"329214990","2436","24694","13692"
"328533857","4249","26021","13901"
"328524904","3359","25817","13892"
"328206519","3230","25434","13597"
"5901192948","4574","25054","14222"
"5813054421","2741","25217","12281"
"5813053731","2714","24156","12120"
"5813011066","3303","24901","14449"
"1043289707","1909","24544","13229"
"888084738","1385","24859","13065"
"359219263","3467","25794","14323"
"481653694","1466","23716","20542"
"5813040903","874","26050","21658"
"5813013530","886","26348","23760"
"5813013203","1723","23657","19955"
"5813013183","1161","26643","24019"
"5813012462","1223","27836","24452"
"5812980039","1670","26068","22082"
"883030091","1111","25588","22905"
"855043038","1632","25318","21812"
"699212545","1369","27271","23334"
"674001478","1889","25676","22374"
"668152044","1173","27131","24669"
"667841133","653","25661","22179"
"640220321","1335","26208","23809"
"638826442","876","24876","22986"
"638476210","1829","27567","24234"
"612285653","2107","24014","20042"
"607130326","1079","24677","21207"
"607109790","1279","26592","23491"
"606492411","956","27070","23983"
"606431658","771","26120","23351"
"603007915","1599","27682","24675"
"580546081","1778","27668","25137"
"576774002","1802","27238","24384"
"575042709","2621","28146","25834"
"574723544","1184","25108","22690"
"574378565","1532","24371","21306"
"574352231","1189","27629","23979"
"574128034","1640","25487","23038"
"549521047","722","25688","22518"
"547115923","1296","25749","21686"
"543770627","1411","24010","21809"
"542665187","1061","26507","22643"
"514406435","1416","25099","22109"
"514073634","1139","24556","20517"
"511970945","1175","27359","22962"
"486444499","1702","26215","23791"
"486073599","1132","25968","22440"
"485723857","900","25365","21914"
"482685041","3748","24593","20166"
"455728985","1070","26457","22983"
"454377810","1662","26648","24027"
"453018720","1225","23069","17561"
"452681716","1293","23845","20077"
"452676790","2535","24881","20657"
"452336396","1260","25243","23089"
"452327439","1244","25976","22826"
"450951445","1043","25977","21965"
"450933288","1053","27964","23823"
"424384254","1135","25464","22501"
"419880359","2145","27708","24737"
"391945237","1941","24450","21260"
"391276906","693","26755","24362"
"390931864","1238","22686","18257"
"390586997","1490","26533","22985"
"390254536","651","24048","18282"
"360595711","1643","24899","21396"
"360237353","1260","24899","20884"
"359560118","1276","25513","22080"
"358874595","2082","23516","19260"
"329206270","1861","24978","22139"
"327857238","3241","20668","16682"
"327152465","3525","24298","19899"
"325490014","2954","25801","21100"
"295456869","2627","24101","19603"
"295115429","4408","21074","17711"
"294437328","1924","23938","18981"
"5901196932","1193","24200","18832"
"5813132408","526","25306","21185"
"5813106089","1278","25064","21289"
"5813069285","1489","24829","20544"
"5813061564","1365","26972","22924"
"5813057923","1340","27406","24350"
"5813057660","907","23845","18515"
"5813055798","3841","19444","17388"
"5813039980","666","26077","22632"
"5813039931","1991","24643","20883"
"5813013792","1245","26108","23300"
"5813011770","881","27437","23578"
"5812980329","1554","24544","20908"
"948135822","4116","24264","20006"
"886066221","998","25614","23470"
"850636610","1517","26156","24218"
"761239957","4629","28198","29054"
"733005935","682","26715","24044"
"668552668","733","26754","23490"
"640915837","1666","25884","22544"
"638196102","1647","24198","20132"
"638148213","770","25677","23089"
"636792984","1024","25565","21162"
"633097828","2843","25771","20745"
"609168709","1844","27024","23904"
"606479285","614","26142","22242"
"577801333","759","25584","23735"
"575418068","1382","26873","25133"
"546123239","1162","24670","20208"
"516771668","1253","27235","22508"
"516762858","1600","24344","20476"
"485732870","2055","24331","20595"
"481989534","2025","27402","24902"
"451296290","1676","23642","18363"
"450933392","673","25121","22141"
"420235167","2098","23921","19531"
"356832459","4307","20285","17835"
"295470623","3039","24968","20835"
"295115628","3699","25180","20398"
"762262916","228","22858","13194"
"5901208658","1497","22414","17342"
"5901203780","708","22042","16347"
"5901197773","72","23431","13073"
"5901194395","604","22526","14434"
"5901194039","137","23061","12711"
"5901193783","824","20948","16105"
"5813090944","749","23062","13045"
"5813047024","612","18772","11256"
