bodyid,pre,post,upstream,downstream,status,name,voxels,soma,side,connectivity.type,cell.type,class,cellBodyFiber,glomerulus,presyn.glom,layer,ct.layer,axon.outputs,axon.inputs,total.length,cable.length.glom.um,axon.length,notes
1639381243,173,298,298,729,Traced,ORN_D,166379258,FALSE,NA,ORN_D,ORN_D,ORN,NA,D,NA,1,1,729,298,536.3677218,NA,536.3677218,
1639709286,94,172,172,437,Traced,ORN_D,110139041,FALSE,NA,ORN_D,ORN_D,ORN,NA,D,NA,1,1,437,172,408.0373337,NA,408.0373337,
1639709508,189,329,329,812,Traced,ORN_D,197118893,FALSE,NA,ORN_D,ORN_D,ORN,NA,D,NA,1,1,811,329,574.3584777,NA,574.3584777,
1639709544,190,329,329,832,Traced,ORN_D,212427932,FALSE,NA,ORN_D,ORN_D,ORN,NA,D,NA,1,1,832,327,614.8246741,NA,614.8246741,
1667260273,205,328,328,914,Traced,ORN_D,208695949,FALSE,NA,ORN_D,ORN_D,ORN,NA,D,NA,1,1,914,327,636.5605239,NA,636.5605239,
1667264339,216,339,339,925,Traced,ORN_D,215352684,FALSE,NA,ORN_D,ORN_D,ORN,NA,D,NA,1,1,925,339,679.5729755,NA,679.5729755,
1667933626,235,410,410,1069,Traced,ORN_D,196787820,FALSE,NA,ORN_D,ORN_D,ORN,NA,D,NA,1,1,1069,410,633.5107753,NA,633.5107753,
1668676767,156,266,266,681,Traced,ORN_D,151195888,FALSE,NA,ORN_D,ORN_D,ORN,NA,D,NA,1,1,681,264,540.5822756,NA,540.5822756,
1671305698,211,353,353,954,Traced,ORN_D,199210534,FALSE,NA,ORN_D,ORN_D,ORN,NA,D,NA,1,1,954,352,643.6568271,NA,643.6568271,
1671629585,130,227,227,576,Traced,ORN_D,75914588,FALSE,NA,ORN_D,ORN_D,ORN,NA,D,NA,1,1,576,227,379.2917119,NA,379.2917119,
1671970762,222,390,390,1014,Traced,ORN_D,207681522,FALSE,NA,ORN_D,ORN_D,ORN,NA,D,NA,1,1,1014,389,630.8998424,NA,630.8998424,
1701343239,226,421,421,1103,Traced,ORN_D,199216280,FALSE,NA,ORN_D,ORN_D,ORN,NA,D,NA,1,1,1103,421,776.5556631,NA,776.5556631,
1703359176,231,350,350,1053,Traced,ORN_D,204483290,FALSE,NA,ORN_D,ORN_D,ORN,NA,D,NA,1,1,1053,350,661.1848013,NA,661.1848013,
5812993853,225,369,369,1047,Traced,ORN_D,227450560,FALSE,NA,ORN_D,ORN_D,ORN,NA,D,NA,1,1,1047,369,696.9132445,NA,696.9132445,
5812995240,240,415,415,1115,Traced,ORN_D,209288578,FALSE,NA,ORN_D,ORN_D,ORN,NA,D,NA,1,1,1115,414,643.6315294,NA,643.6315294,
1671970331,53,50,50,240,Orphan,ORN_DA1_L,50488782,FALSE,B-contra,ORN_DA1,ORN_DA1,ORN,NA,DA1,53,1,1,240,50,275.5410156,108.6509,275.5410156,
1734355466,64,77,77,351,Orphan,ORN_DA1_R,43921035,FALSE,B-ipsi,ORN_DA1,ORN_DA1,ORN,NA,DA1,61,1,1,351,77,231.7778027,90.7442634,231.7778027,
